,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
3781,2018-01-27T06:00,-7.2,70,-11.2,993.6,0.0,0.0,0.0,0.0,0.0,19.2,172,0.02,-0.4,0.26,6601.25,Winter
7868,2018-02-24T15:00,2.4,75,-0.3,975.0,0.0,211.0,15.0,196.0,14.7,15.3,315,0.1,-0.7,0.297,6629.625,Winter
8846,2018-03-03T10:00,0.7,77,-3.7,1004.4,0.0,189.0,23.0,166.0,34.5,17.5,352,0.07,0.7,0.244,6636.416666666667,Winter
11228,2018-03-19T23:00,-12.1,82,-14.3,985.1,0.0,0.0,0.0,0.0,0.0,10.7,282,0.01,-0.4,0.223,6652.958333333333,Winter
10628,2018-03-15T19:00,-0.5,77,-4.0,951.1,0.0,0.0,0.0,0.0,0.0,15.5,292,0.02,-0.6,0.232,6648.791666666667,Winter
11047,2018-03-18T17:00,-4.3,44,-5.5,988.2,0.0,248.0,189.0,59.0,788.5,9.7,301,0.1,-0.3,0.226,6651.708333333333,Winter
5425,2018-02-07T16:00,-6.3,88,-11.8,988.5,1.12,36.0,0.0,36.0,0.0,5.8,112,0.02,-1.0,0.239,6612.666666666667,Winter
4718,2018-02-02T18:00,-11.3,45,-16.9,995.6,0.0,0.0,0.0,0.0,0.1,21.0,301,0.03,-2.6,0.26,6607.75,Winter
1264,2018-01-09T18:00,-1.2,74,-3.7,1000.2,0.0,0.0,0.0,0.0,0.0,14.1,289,0.04,-0.9,0.23,6583.75,Winter
6128,2018-02-12T13:00,-5.5,59,-10.7,996.5,0.0,432.0,245.0,187.0,437.0,21.0,277,0.09,-0.3,0.25,6617.541666666667,Winter
9437,2018-03-07T12:00,0.1,60,-4.8,984.5,0.0,345.0,101.0,244.0,130.3,14.6,106,0.12,-0.1,0.243,6640.5,Winter
3057,2018-01-22T05:00,-2.8,90,-5.2,988.5,0.0,0.0,0.0,0.0,0.0,4.2,31,0.0,-0.7,0.33,6596.208333333333,Winter
51345,2018-12-23T13:00,-5.9,63,-9.0,991.2,0.0,352.0,250.0,102.0,643.3,7.1,319,0.08,1.2,0.29,6931.541666666667,Winter
1646,2018-01-12T10:00,9.6,99,6.6,964.8,0.0,28.0,0.0,28.0,0.0,20.8,162,0.02,-0.7,0.37,6586.416666666667,Winter
51431,2018-12-24T03:00,-2.0,70,-4.1,995.0,0.0,0.0,0.0,0.0,0.0,4.3,180,0.0,-0.5,0.276,6932.125,Winter
3016,2018-01-21T22:00,-4.3,92,-8.4,992.9,0.0,0.0,0.0,0.0,0.0,7.9,66,0.0,-0.3,0.242,6595.916666666667,Winter
11071,2018-03-18T21:00,-10.1,70,-6.5,989.3,0.0,0.0,0.0,0.0,0.0,7.3,303,0.03,-0.3,0.226,6651.875,Winter
2576,2018-01-18T21:00,-9.9,83,-15.8,991.5,0.0,0.0,0.0,0.0,0.0,10.5,276,0.0,-2.4,0.27,6592.875,Winter
7272,2018-02-20T12:00,8.4,94,8.9,988.7,0.0,257.0,55.0,202.0,137.8,12.6,200,0.12,-1.1,0.411,6625.5,Winter
9382,2018-03-07T03:00,-2.1,83,-2.5,993.5,0.0,0.0,0.0,0.0,0.0,3.6,96,0.0,-0.1,0.261,6640.125,Winter
10234,2018-03-13T01:00,-0.7,91,-3.0,986.4,0.28,0.0,0.0,0.0,0.0,15.3,34,0.01,0.1,0.236,6646.041666666667,Winter
2401,2018-01-17T16:00,-5.1,84,-10.1,991.3,0.07,79.0,29.0,50.0,230.8,5.1,274,0.02,-0.5,0.26,6591.666666666667,Winter
8879,2018-03-03T15:00,2.9,71,0.1,973.1,0.0,222.0,44.0,178.0,82.9,18.9,8,0.11,-0.6,0.268,6636.625,Winter
8195,2018-02-26T21:00,0.0,73,-1.2,1003.7,0.0,0.0,0.0,0.0,0.0,7.7,233,0.02,0.2,0.263,6631.875,Winter
52499,2018-12-31T13:00,2.1,72,-2.4,995.0,0.0,244.0,51.0,193.0,236.0,11.6,173,0.09,-0.1,0.272,6939.541666666667,Winter
1041,2018-01-08T05:00,-9.1,78,-14.5,989.7,0.07,0.0,0.0,0.0,0.0,13.7,162,0.01,-1.2,0.228,6582.208333333333,Winter
9919,2018-03-10T21:00,-2.0,95,-5.8,980.3,0.35,0.0,0.0,0.0,0.0,10.6,298,0.0,-0.2,0.236,6643.875,Winter
2591,2018-01-18T23:00,-9.7,84,-10.9,980.9,0.0,0.0,0.0,0.0,0.0,6.5,199,0.0,-0.9,0.326,6592.958333333333,Winter
51030,2018-12-21T09:00,6.8,88,2.2,970.2,0.0,26.0,4.0,22.0,14.4,26.2,143,0.03,3.0,0.334,6929.375,Winter
4797,2018-02-03T07:00,-24.1,78,-24.1,995.6,0.0,0.0,0.0,0.0,0.0,9.3,152,0.0,-1.1,0.25,6608.291666666667,Winter
1885,2018-01-14T02:00,-22.0,80,-27.0,1001.0,0.0,0.0,0.0,0.0,0.0,7.5,253,0.0,-0.5,0.294,6588.083333333333,Winter
6235,2018-02-13T07:00,-16.3,85,-22.5,1010.8,0.0,0.0,0.0,0.0,0.0,5.2,214,0.0,-0.3,0.243,6618.291666666667,Winter
3606,2018-01-26T01:00,-13.3,66,-16.7,1016.6,0.0,0.0,0.0,0.0,0.0,6.2,339,0.0,-0.1,0.262,6600.041666666667,Winter
20543,2018-05-23T15:00,19.7,64,20.6,986.6,0.0,670.0,530.0,140.0,715.3,14.0,331,0.44,17.3,0.259,6717.625,Spring
18061,2018-05-06T10:00,16.5,70,15.5,984.3,0.0,378.0,47.0,331.0,84.0,8.5,208,0.24,14.4,0.317,6700.416666666667,Spring
18720,2018-05-11T00:00,9.7,94,2.8,979.5,0.0,0.0,0.0,0.0,0.0,22.9,312,0.02,11.1,0.243,6705.0,Spring
21225,2018-05-28T09:00,11.8,89,10.6,997.2,0.0,164.0,0.0,164.0,4.5,2.5,98,0.09,11.6,0.182,6722.375,Spring
18959,2018-05-12T15:00,16.5,40,14.5,972.9,0.0,637.0,502.0,135.0,713.9,8.2,232,0.39,13.9,0.195,6706.625,Spring
15706,2018-04-20T01:00,0.9,73,-2.3,990.3,0.0,0.0,0.0,0.0,0.0,14.7,301,0.03,1.1,0.271,6684.041666666667,Spring
18495,2018-05-09T10:00,22.5,46,24.0,999.1,0.0,806.0,706.0,100.0,886.7,1.6,117,0.51,17.7,0.228,6703.416666666667,Spring
13976,2018-04-08T01:00,-2.3,65,-5.1,995.3,0.0,0.0,0.0,0.0,0.0,3.9,292,0.0,0.8,0.248,6672.041666666667,Spring
24122,2018-06-17T12:00,28.8,28,28.7,986.7,0.0,900.0,668.0,232.0,729.0,6.9,223,0.65,24.0,0.204,6742.5,Spring
23231,2018-06-11T07:00,13.8,57,10.7,991.0,0.0,357.0,287.0,70.0,655.4,4.6,45,0.17,14.1,0.172,6736.291666666667,Spring
23372,2018-06-12T07:00,16.6,61,13.7,1000.2,0.0,333.0,261.0,72.0,540.1,8.4,227,0.19,15.8,0.123,6737.291666666667,Spring
22895,2018-06-08T23:00,13.2,68,11.3,990.4,0.0,0.0,0.0,0.0,0.0,9.9,260,0.02,13.2,0.208,6733.958333333333,Spring
13626,2018-04-05T15:00,-0.4,32,-6.7,966.5,0.0,624.0,459.0,165.0,772.6,26.0,287,0.2,-0.8,0.29,6669.625,Spring
22794,2018-06-08T07:00,17.0,82,16.5,998.8,0.0,291.0,207.0,84.0,508.3,3.4,212,0.15,15.1,0.196,6733.291666666667,Spring
